SCC,Short_Desc,SCC1,SCC2,SCC3,SCC4,Sector,Description
10100101,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Anthracite Coal,"Anthracite Coal, Pulverized: Boiler",Point EGU,"External Combustion;Electric Generation: Boilers;Anthracite Coal;Anthracite Coal, Pulverized: Boiler"
10100201,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal, Pulverized: Boiler, Wet Bottom",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal, Pulverized: Boiler, Wet Bottom"
10100202,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal, Pulverized: Boiler, Dry Bottom",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal, Pulverized: Boiler, Dry Bottom"
10100203,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal: Boiler, Cyclone Furnace",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Boiler, Cyclone Furnace"
10100204,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal: Boiler, Spreader Stoker",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Boiler, Spreader Stoker"
10100205,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal: Boiler, Traveling Grate (Overfeed) Stoker",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Boiler, Traveling Grate (Overfeed) Stoker"
10100212,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal, Pulverized: Boiler, Dry Bottom Tangential-fired",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal, Pulverized: Boiler, Dry Bottom Tangential-fired"
10100215,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Cell Burner,Point EGU,External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Cell Burner
10100217,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal: Boiler, Atmospheric Fluidized Bed Combustion: Bubbling Bed",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Boiler, Atmospheric Fluidized Bed Combustion: Bubbling Bed"
10100218,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Bituminous Coal: Boiler, Atmospheric Fluidized Bed Combustion: Circulating Bed",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Boiler, Atmospheric Fluidized Bed Combustion: Circulating Bed"
10100222,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Subbituminous Coal, Pulverized: Boiler, Dry Bottom",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal, Pulverized: Boiler, Dry Bottom"
10100223,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Cyclone Furnace,Point EGU,External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Cyclone Furnace
10100224,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Subbituminous Coal: Boiler, Spreader Stoker",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Boiler, Spreader Stoker"
10100225,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Subbituminous Coal: Boiler, Traveling Grate (Overfeed) Stoker",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Boiler, Traveling Grate (Overfeed) Stoker"
10100226,Fuel Comb - Electric Generation - Coal,External Combustion,Electric Generation: Boilers,Bituminous/Subbituminous Coal,"Subbituminous Coal, Pulverized: Boiler, Dry Bottom Tangential-fired",Point EGU,"External Combustion;Electric Generation: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal, Pulverized: Boiler, Dry Bottom Tangential-fired"
10100401,Fuel Comb - Electric Generation - Oil,External Combustion,Electric Generation: Boilers,Residual Oil,"Residual Oil - Grade 6: Boiler, Normal Firing",Point EGU,"External Combustion;Electric Generation: Boilers;Residual Oil;Residual Oil - Grade 6: Boiler, Normal Firing"
10100501,Fuel Comb - Electric Generation - Oil,External Combustion,Electric Generation: Boilers,Distillate Oil,Distillate Oil - Grades 1 and 2: Boiler,Point EGU,External Combustion;Electric Generation: Boilers;Distillate Oil;Distillate Oil - Grades 1 and 2: Boiler
10100504,Fuel Comb - Electric Generation - Oil,External Combustion,Electric Generation: Boilers,Distillate Oil,"Distillate Oil - Grade 4: Boiler, Normal Firing",Point EGU,"External Combustion;Electric Generation: Boilers;Distillate Oil;Distillate Oil - Grade 4: Boiler, Normal Firing"
10100505,Fuel Comb - Electric Generation - Oil,External Combustion,Electric Generation: Boilers,Distillate Oil,"Distillate Oil - Grade 4: Boiler, Tangential-fired",Point EGU,"External Combustion;Electric Generation: Boilers;Distillate Oil;Distillate Oil - Grade 4: Boiler, Tangential-fired"
10100601,Fuel Comb - Electric Generation - Natural Gas,External Combustion,Electric Generation: Boilers,Natural Gas,"Boiler, >= 100 Million BTU/hr",Point EGU,"External Combustion;Electric Generation: Boilers;Natural Gas;Boiler, >= 100 Million BTU/hr"
10100602,Fuel Comb - Electric Generation - Natural Gas,External Combustion,Electric Generation: Boilers,Natural Gas,"Boiler < 100 Million BTU, except tangential",Point EGU,"External Combustion;Electric Generation: Boilers;Natural Gas;Boiler < 100 Million BTU, except tangential"
10100604,Fuel Comb - Electric Generation - Natural Gas,External Combustion,Electric Generation: Boilers,Natural Gas,"Boiler, Tangential-fired",Point EGU,"External Combustion;Electric Generation: Boilers;Natural Gas;Boiler, Tangential-fired"
10100701,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Process Gas,"Boiler, >= 100 Million BTU/hr",Point EGU,"External Combustion;Electric Generation: Boilers;Process Gas;Boiler, >= 100 Million BTU/hr"
10100702,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Process Gas,Boiler < 100 Million Btu/hr,Point EGU,External Combustion;Electric Generation: Boilers;Process Gas;Boiler < 100 Million Btu/hr
10100801,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Petroleum Coke,All Boiler Sizes,Point EGU,External Combustion;Electric Generation: Boilers;Petroleum Coke;All Boiler Sizes
10100901,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Wood/Bark Waste,Bark-fired Boiler,Point EGU,External Combustion;Electric Generation: Boilers;Wood/Bark Waste;Bark-fired Boiler
10100902,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Wood/Bark Waste,Wood/Bark-Fired Boiler,Point EGU,External Combustion;Electric Generation: Boilers;Wood/Bark Waste;Wood/Bark-Fired Boiler
10100903,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (>=20% moisture),Point EGU,External Combustion;Electric Generation: Boilers;Wood/Bark Waste;Wood-fired Boiler - Wet Wood (>=20% moisture)
10100908,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),Point EGU,External Combustion;Electric Generation: Boilers;Wood/Bark Waste;Wood-fired Boiler - Dry Wood (<20% moisture)
10100911,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Wood/Bark Waste,Stoker boilers,Point EGU,External Combustion;Electric Generation: Boilers;Wood/Bark Waste;Stoker boilers
10101001,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Liquified Petroleum Gas (LPG),Butane,Point EGU,External Combustion;Electric Generation: Boilers;Liquified Petroleum Gas (LPG);Butane
10101002,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Liquified Petroleum Gas (LPG),Propane,Point EGU,External Combustion;Electric Generation: Boilers;Liquified Petroleum Gas (LPG);Propane
10101101,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Bagasse,All Boiler Sizes,Point EGU,External Combustion;Electric Generation: Boilers;Bagasse;All Boiler Sizes
10101201,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Solid Waste,Specify Waste Material in Comments,Point EGU,External Combustion;Electric Generation: Boilers;Solid Waste;Specify Waste Material in Comments
10101202,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Solid Waste,Refuse Derived Fuel,Point EGU,External Combustion;Electric Generation: Boilers;Solid Waste;Refuse Derived Fuel
10101208,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Solid Waste,Paper Pellets,Point EGU,External Combustion;Electric Generation: Boilers;Solid Waste;Paper Pellets
10101209,Fuel Comb - Electric Generation - Biomass,External Combustion,Electric Generation: Boilers,Solid Waste,"Biomass Solids: Boiler, Stoker",Point EGU,"External Combustion;Electric Generation: Boilers;Solid Waste;Biomass Solids: Boiler, Stoker"
10101302,Fuel Comb - Electric Generation - Other,External Combustion,Electric Generation: Boilers,Liquid Waste,Waste Oil,Point EGU,External Combustion;Electric Generation: Boilers;Liquid Waste;Waste Oil
10200202,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Pulverized Coal: Dry Bottom,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Pulverized Coal: Dry Bottom
10200204,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Spreader Stoker,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Spreader Stoker
10200206,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Underfeed Stoker,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Underfeed Stoker
10200212,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Pulverized Coal: Dry Bottom (Tangential),Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Pulverized Coal: Dry Bottom (Tangential)
10200217,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Atmospheric Fluidized Bed Combustion: Bubbling Bed,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Atmospheric Fluidized Bed Combustion: Bubbling Bed
10200218,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Atmospheric Fluidized Bed Combustion: Circulating Bed,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Atmospheric Fluidized Bed Combustion: Circulating Bed
10200222,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Pulverized Coal: Dry Bottom,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Pulverized Coal: Dry Bottom
10200224,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Spreader Stoker,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Spreader Stoker
10200225,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Traveling Grate (Overfeed) Stoker,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Traveling Grate (Overfeed) Stoker
10200229,"Fuel Comb - Industrial Boilers, ICEs - Coal",External Combustion,Industrial: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Cogeneration,Point Industrial,External Combustion;Industrial: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Cogeneration
10200401,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Residual Oil,Grade 6 oil,Point Industrial,External Combustion;Industrial: Boilers;Residual Oil;Grade 6 oil
10200402,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Residual Oil,10-100 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Residual Oil;10-100 Million BTU/hr
10200403,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Residual Oil,< 10 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Residual Oil;< 10 Million BTU/hr
10200501,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,Distillate Oil - Grades 1 and 2: Boiler,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;Distillate Oil - Grades 1 and 2: Boiler
10200502,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,10-100 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;10-100 Million BTU/hr
10200503,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,< 10 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;< 10 Million BTU/hr
10200504,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,Grade 4 Oil,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;Grade 4 Oil
10200505,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,Cogeneration,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;Cogeneration
10200506,"Fuel Comb - Industrial Boilers, ICEs - Oil",External Combustion,Industrial: Boilers,Distillate Oil,Boiler > 100 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Distillate Oil;Boiler > 100 Million BTU/hr
10200601,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",External Combustion,Industrial: Boilers,Natural Gas,> 100 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Natural Gas;> 100 Million BTU/hr
10200602,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",External Combustion,Industrial: Boilers,Natural Gas,10-100 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Natural Gas;10-100 Million BTU/hr
10200603,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",External Combustion,Industrial: Boilers,Natural Gas,< 10 Million BTU/hr,Point Industrial,External Combustion;Industrial: Boilers;Natural Gas;< 10 Million BTU/hr
10200604,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",External Combustion,Industrial: Boilers,Natural Gas,Cogeneration,Point Industrial,External Combustion;Industrial: Boilers;Natural Gas;Cogeneration
10200701,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Process Gas,Petroleum Refinery Gas,Point Industrial,External Combustion;Industrial: Boilers;Process Gas;Petroleum Refinery Gas
10200704,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Process Gas,Blast Furnace Gas,Point Industrial,External Combustion;Industrial: Boilers;Process Gas;Blast Furnace Gas
10200707,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Process Gas,Coke Oven Gas,Point Industrial,External Combustion;Industrial: Boilers;Process Gas;Coke Oven Gas
10200711,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Process Gas,Landfill Gas,Point Industrial,External Combustion;Industrial: Boilers;Process Gas;Landfill Gas
10200799,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Process Gas,Other: Specify in Comments,Point Industrial,External Combustion;Industrial: Boilers;Process Gas;Other: Specify in Comments
10200802,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Petroleum Coke,All Boiler Sizes,Point Industrial,External Combustion;Industrial: Boilers;Petroleum Coke;All Boiler Sizes
10200804,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Petroleum Coke,Cogeneration,Point Industrial,External Combustion;Industrial: Boilers;Petroleum Coke;Cogeneration
10200901,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Bark-fired Boiler,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Bark-fired Boiler
10200902,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Wood/Bark-fired Boiler,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood/Bark-fired Boiler
10200903,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (>=20% moisture),Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood-fired Boiler - Wet Wood (>=20% moisture)
10200904,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,"Bark-fired Boiler (< 50,000 Lb Steam)",Point Industrial,"External Combustion;Industrial: Boilers;Wood/Bark Waste;Bark-fired Boiler (< 50,000 Lb Steam)"
10200905,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,"Wood/Bark-fired Boiler (< 50,000 Lb Steam)",Point Industrial,"External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood/Bark-fired Boiler (< 50,000 Lb Steam)"
10200906,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,"Wood-fired Boiler (< 50,000 Lb Steam)",Point Industrial,"External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood-fired Boiler (< 50,000 Lb Steam)"
10200907,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Wood Cogeneration,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood Cogeneration
10200908,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Wood-fired Boiler - Dry Wood (<20% moisture)
10200910,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Fuel cell/Dutch oven boilers,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Fuel cell/Dutch oven boilers
10200911,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Stoker boilers,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Stoker boilers
10200912,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood/Bark Waste,Fluidized bed combustion boiler,Point Industrial,External Combustion;Industrial: Boilers;Wood/Bark Waste;Fluidized bed combustion boiler
10201002,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Liquified Petroleum Gas (LPG),Propane,Point Industrial,External Combustion;Industrial: Boilers;Liquified Petroleum Gas (LPG);Propane
10201101,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Bagasse,All Boiler Sizes,Point Industrial,External Combustion;Industrial: Boilers;Bagasse;All Boiler Sizes
10201201,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Solid Waste,Specify Waste Material in Comments,Point Industrial,External Combustion;Industrial: Boilers;Solid Waste;Specify Waste Material in Comments
10201202,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Solid Waste,Refuse Derived Fuel,Point Industrial,External Combustion;Industrial: Boilers;Solid Waste;Refuse Derived Fuel
10201301,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Liquid Waste,Specify Waste Material in Comments,Point Industrial,External Combustion;Industrial: Boilers;Liquid Waste;Specify Waste Material in Comments
10201302,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Liquid Waste,Waste Oil,Point Industrial,External Combustion;Industrial: Boilers;Liquid Waste;Waste Oil
10201501,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Tire-derived Fuel,"Boiler, Stoker",Point Industrial,"External Combustion;Industrial: Boilers;Tire-derived Fuel;Boiler, Stoker"
10201502,"Fuel Comb - Industrial Boilers, ICEs - Other",External Combustion,Industrial: Boilers,Tire-derived Fuel,"Boiler, Non-stoker",Point Industrial,"External Combustion;Industrial: Boilers;Tire-derived Fuel;Boiler, Non-stoker"
10201902,"Fuel Comb - Industrial Boilers, ICEs - Biomass",External Combustion,Industrial: Boilers,Wood Residuals,"Boiler, non-stoker",Point Industrial,"External Combustion;Industrial: Boilers;Wood Residuals;Boiler, non-stoker"
10300103,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Anthracite Coal,Hand-fired,Point Industrial,External Combustion;Commercial/Institutional: Boilers;Anthracite Coal;Hand-fired
10300206,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Pulverized Coal: Dry Bottom,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Pulverized Coal: Dry Bottom
10300207,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Overfeed Stoker,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Overfeed Stoker
10300208,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Underfeed Stoker,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Underfeed Stoker
10300209,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Spreader Stoker,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Spreader Stoker
10300214,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Hand-fired,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Hand-fired
10300217,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Atmospheric Fluidized Bed Combustion: Bubbling Bed,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Atmospheric Fluidized Bed Combustion: Bubbling Bed
10300218,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Bituminous Coal: Atmospheric Fluidized Bed Combustion: Circulating Bed,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Bituminous Coal: Atmospheric Fluidized Bed Combustion: Circulating Bed
10300222,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Pulverized Coal: Dry Bottom,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Pulverized Coal: Dry Bottom
10300224,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Spreader Stoker,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Spreader Stoker
10300225,Fuel Comb - Comm/Institutional - Coal,External Combustion,Commercial/Institutional: Boilers,Bituminous/Subbituminous Coal,Subbituminous Coal: Traveling Grate (Overfeed) Stoker,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Bituminous/Subbituminous Coal;Subbituminous Coal: Traveling Grate (Overfeed) Stoker
10300401,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Residual Oil,Residual Oil - Grade 6: Boiler,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Residual Oil;Residual Oil - Grade 6: Boiler
10300402,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Residual Oil,10-100 Million BTU/hr,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Residual Oil;10-100 Million BTU/hr
10300404,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Residual Oil,Grade 5 Oil,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Residual Oil;Grade 5 Oil
10300501,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Distillate Oil,Distillate Oil - Grades 1 and 2: Boiler,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Distillate Oil;Distillate Oil - Grades 1 and 2: Boiler
10300502,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Distillate Oil,10-100 Million BTU/hr,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Distillate Oil;10-100 Million BTU/hr
10300503,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Distillate Oil,< 10 Million BTU/hr,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Distillate Oil;< 10 Million BTU/hr
10300504,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Distillate Oil,Grade 4 Oil,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Distillate Oil;Grade 4 Oil
10300505,Fuel Comb - Comm/Institutional - Oil,External Combustion,Commercial/Institutional: Boilers,Distillate Oil,Boiler > 100 Million BTU/hr,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Distillate Oil;Boiler > 100 Million BTU/hr
10300601,Fuel Comb - Comm/Institutional - Natural Gas,External Combustion,Commercial/Institutional: Boilers,Natural Gas,> 100 Million BTU/hr,Point Comm/Inst,External Combustion;Commercial/Institutional: Boilers;Natural Gas;> 100 Million BTU/hr
